date,open,high,low,close,volume
2025-11-11,1523.2500,1532.5000,1511.0000,1530.6000,521626
2025-11-12,1541.2000,1557.9000,1538.2500,1551.4000,641435
2025-11-13,1558.9500,1558.9500,1530.4000,1542.3500,1051410
2025-11-14,1510.6500,1529.6500,1489.3000,1502.5000,427328
2025-11-17,1485.1000,1509.9000,1485.1000,1507.6000,192848
2025-11-18,1505.0500,1505.0500,1483.4500,1485.6500,658521
2025-11-19,1488.8000,1542.8500,1488.8000,1541.2500,415125
2025-11-20,1541.0000,1555.0000,1533.4000,1536.7500,932233
2025-11-21,1530.0000,1551.5000,1527.5000,1544.6000,699948
2025-11-24,1557.1500,1584.9500,1541.5500,1549.4000,414633
2025-11-25,1549.0000,1549.4500,1526.0000,1530.0000,266157
2025-11-26,1534.5500,1559.9500,1534.4500,1557.7500,190827
2025-11-27,1557.0500,1574.4000,1552.4000,1566.1500,866615
2025-11-28,1569.1000,1569.1000,1556.9500,1559.7000,220809
2025-12-01,1560.2500,1573.7000,1557.0000,1563.1500,217785
2025-12-02,1564.0500,1579.5500,1556.0000,1560.7500,267203
2025-12-03,1555.0000,1585.6000,1551.1000,1578.3000,462341
2025-12-04,1560.7500,1599.7500,1560.7500,1597.8000,1501246
2025-12-05,1607.3500,1631.2000,1600.8500,1615.9500,687186
2025-12-08,1615.9500,1629.8000,1600.6000,1610.0500,255146
2025-12-09,1600.0500,1606.1500,1582.5000,1599.3500,146401
2025-12-10,1600.5500,1606.3000,1582.4500,1584.6500,574014
2025-12-11,1598.8000,1605.8000,1580.9500,1597.8000,762589
2025-12-12,1602.0500,1602.0500,1582.3000,1598.7500,398050
2025-12-15,1581.0000,1610.7000,1581.0000,1607.0500,231199
2025-12-16,1598.0500,1603.2000,1585.9000,1592.3500,342763
2025-12-17,1590.0000,1606.5000,1586.4500,1602.1000,173930
2025-12-18,1610.0000,1629.0000,1607.0000,1626.3500,713643
2025-12-19,1645.0500,1655.0000,1629.7000,1639.6000,434492
2025-12-22,1669.9500,1692.9000,1662.8000,1689.7000,831315
2025-12-23,1681.9500,1681.9500,1655.9500,1668.1000,289480
